add_with,composition_fn,dsm,n,omit_type_2_verb_and_exp_theme,reduce_type,strict_compositional,dsm,num_total_evaluations,exp,correct,type_3_sibling_category,type_3_same_category,type_2_sibling_category,other,type_2_same_category
True,componential,count,30,False,"('svd', 30)",True,count,480,1a,1.0,0.0,0.0,0.0,0.0,
True,componential,count,30,False,"('svd', 30)",False,count,480,1a,0.72,0.0,0.28,0.0,0.0,
True,addition,count,30,True,"('svd', 30)",False,count,480,1a,0.46,0.02,0.02,0.46,0.05,
True,multiplication,count,30,True,"('svd', 30)",False,count,480,1a,0.45,0.02,0.02,0.45,0.08,
True,addition,count,30,True,"('svd', 30)",True,count,480,1a,0.45,0.01,0.01,0.45,0.08,
True,multiplication,count,30,True,"('svd', 30)",True,count,480,1a,0.43,0.02,0.02,0.42,0.11,
True,addition,count,30,False,"('svd', 30)",False,count,480,1a,0.41,0.01,0.01,0.4,0.16,
True,multiplication,count,30,False,"('svd', 30)",True,count,480,1a,0.41,0.02,0.02,0.42,0.13,
True,multiplication,count,30,False,"('svd', 30)",False,count,480,1a,0.4,0.03,0.03,0.4,0.14,
True,addition,count,30,False,"('svd', 30)",True,count,480,1a,0.38,0.04,0.04,0.38,0.17,
True,componential,count,30,True,"('svd', 30)",True,count,480,1a,0.13,0.0,0.87,0.0,0.0,
True,componential,count,30,True,"('svd', 30)",False,count,480,1a,0.0,0.0,1.0,0.0,0.0,
True,componential,count,30,False,"('svd', 30)",True,count,240,1b,1.0,0.0,0.0,0.0,0.0,
True,multiplication,count,30,False,"('svd', 30)",True,count,240,1b,0.43,0.0,0.0,0.44,0.12,
True,addition,count,30,True,"('svd', 30)",True,count,240,1b,0.4,0.04,0.04,0.42,0.1,
True,multiplication,count,30,False,"('svd', 30)",False,count,240,1b,0.39,0.06,0.04,0.37,0.14,
True,addition,count,30,False,"('svd', 30)",False,count,240,1b,0.38,0.05,0.05,0.38,0.15,
True,addition,count,30,False,"('svd', 30)",True,count,240,1b,0.38,0.03,0.03,0.38,0.18,
True,multiplication,count,30,True,"('svd', 30)",True,count,240,1b,0.37,0.07,0.06,0.37,0.13,
True,addition,count,30,True,"('svd', 30)",False,count,240,1b,0.31,0.13,0.14,0.32,0.09,
True,multiplication,count,30,True,"('svd', 30)",False,count,240,1b,0.27,0.15,0.16,0.28,0.14,
True,componential,count,30,False,"('svd', 30)",False,count,240,1b,0.01,0.0,0.99,0.0,0.0,
True,componential,count,30,True,"('svd', 30)",False,count,240,1b,0.0,0.0,1.0,0.0,0.0,
True,componential,count,30,True,"('svd', 30)",True,count,240,1b,0.0,0.0,1.0,0.0,0.0,
True,componential,count,30,False,"('svd', 30)",False,count,480,2a,1.0,0.0,,0.0,0.0,0.0
True,componential,count,30,False,"('svd', 30)",True,count,480,2a,1.0,0.0,,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",False,count,480,2a,1.0,0.0,,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",True,count,480,2a,1.0,0.0,,0.0,0.0,0.0
True,addition,count,30,False,"('svd', 30)",False,count,480,2a,0.28,0.22,,0.01,0.48,0.01
True,addition,count,30,False,"('svd', 30)",True,count,480,2a,0.27,0.19,,0.0,0.54,0.0
True,multiplication,count,30,False,"('svd', 30)",True,count,480,2a,0.26,0.23,,0.0,0.51,0.0
True,multiplication,count,30,False,"('svd', 30)",False,count,480,2a,0.24,0.24,,0.01,0.49,0.01
True,multiplication,count,30,True,"('svd', 30)",True,count,480,2a,0.24,0.21,,0.01,0.54,0.0
True,addition,count,30,True,"('svd', 30)",False,count,480,2a,0.21,0.24,,0.01,0.52,0.02
True,addition,count,30,True,"('svd', 30)",True,count,480,2a,0.2,0.21,,0.01,0.57,0.02
True,multiplication,count,30,True,"('svd', 30)",False,count,480,2a,0.19,0.21,,0.03,0.55,0.02
True,componential,count,30,False,"('svd', 30)",False,count,240,2b,1.0,0.0,,0.0,0.0,0.0
True,componential,count,30,False,"('svd', 30)",True,count,240,2b,1.0,0.0,,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",False,count,240,2b,1.0,0.0,,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",True,count,240,2b,1.0,0.0,,0.0,0.0,0.0
True,addition,count,30,False,"('svd', 30)",False,count,240,2b,0.28,0.23,,0.01,0.48,0.01
True,addition,count,30,False,"('svd', 30)",True,count,240,2b,0.27,0.19,,0.0,0.54,0.0
True,multiplication,count,30,False,"('svd', 30)",True,count,240,2b,0.26,0.23,,0.0,0.5,0.0
True,multiplication,count,30,True,"('svd', 30)",True,count,240,2b,0.23,0.21,,0.01,0.54,0.01
True,multiplication,count,30,False,"('svd', 30)",False,count,240,2b,0.22,0.25,,0.01,0.5,0.02
True,addition,count,30,True,"('svd', 30)",False,count,240,2b,0.22,0.2,,0.02,0.52,0.04
True,multiplication,count,30,True,"('svd', 30)",False,count,240,2b,0.2,0.19,,0.04,0.55,0.02
True,addition,count,30,True,"('svd', 30)",True,count,240,2b,0.19,0.2,,0.01,0.56,0.03
