add_reversed_seq,add_with,composition_fn,dsm,n,omit_type_2_verb_and_exp_theme,strict_compositional,dsm,num_total_evaluations,exp,correct,type_3_sibling_category,type_3_same_category,type_2_sibling_category,other,type_2_same_category
False,True,native,transformer,30,False,False,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
False,True,native,transformer,30,False,True,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
False,True,native,transformer,30,True,False,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
False,True,native,transformer,30,True,True,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
True,True,native,transformer,30,False,False,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
True,True,native,transformer,30,False,True,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
True,True,native,transformer,30,True,False,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
True,True,native,transformer,30,True,True,transformer,480,1a,1.0,0.0,0.0,0.0,0.0,
False,True,native,transformer,30,True,True,transformer,240,1b,1.0,0.0,0.0,0.0,0.0,
True,True,native,transformer,30,False,False,transformer,240,1b,1.0,0.0,0.0,0.0,0.0,
True,True,native,transformer,30,False,True,transformer,240,1b,1.0,0.0,0.0,0.0,0.0,
True,True,native,transformer,30,True,True,transformer,240,1b,1.0,0.0,0.0,0.0,0.0,
False,True,native,transformer,30,False,False,transformer,240,1b,0.98,0.0,0.01,0.0,0.0,
False,True,native,transformer,30,False,True,transformer,240,1b,0.97,0.01,0.0,0.0,0.01,
True,True,native,transformer,30,True,False,transformer,240,1b,0.97,0.0,0.03,0.0,0.0,
False,True,native,transformer,30,True,False,transformer,240,1b,0.89,0.0,0.1,0.0,0.01,
False,True,native,transformer,30,False,False,transformer,480,2a,1.0,0.0,,0.0,0.0,0.0
False,True,native,transformer,30,False,True,transformer,480,2a,1.0,0.0,,0.0,0.0,0.0
False,True,native,transformer,30,True,True,transformer,480,2a,1.0,0.0,,0.0,0.0,0.0
True,True,native,transformer,30,False,False,transformer,480,2a,1.0,0.0,,0.0,0.0,0.0
True,True,native,transformer,30,False,True,transformer,480,2a,1.0,0.0,,0.0,0.0,0.0
True,True,native,transformer,30,True,False,transformer,480,2a,1.0,0.0,,0.0,0.0,0.0
True,True,native,transformer,30,True,True,transformer,480,2a,1.0,0.0,,0.0,0.0,0.0
False,True,native,transformer,30,True,False,transformer,480,2a,0.98,0.02,,0.0,0.0,0.0
True,True,native,transformer,30,True,True,transformer,240,2b,1.0,0.0,,0.0,0.0,0.0
True,True,native,transformer,30,True,False,transformer,240,2b,0.97,0.03,,0.0,0.0,0.0
False,True,native,transformer,30,True,True,transformer,240,2b,0.96,0.04,,0.0,0.0,0.0
True,True,native,transformer,30,False,False,transformer,240,2b,0.91,0.03,,0.0,0.0,0.06
False,True,native,transformer,30,False,False,transformer,240,2b,0.87,0.08,,0.0,0.01,0.04
False,True,native,transformer,30,True,False,transformer,240,2b,0.8,0.19,,0.0,0.01,0.0
True,True,native,transformer,30,False,True,transformer,240,2b,0.7,0.01,,0.0,0.0,0.29
False,True,native,transformer,30,False,True,transformer,240,2b,0.63,0.07,,0.0,0.03,0.26
