add_with,composition_fn,dsm,n,omit_type_2_verb_and_exp_theme,reduce_type,strict_compositional,dsm,num_total_evaluations,exp,instrument_correct_prop,instrument_type_3_sibling_category_prop,instrument_type_2_same_category_prop,instrument_type_2_sibling_category_prop,instrument_other_prop
True,componential,count,30,False,"('svd', 30)",False,count,480,2a,1.0,0.0,0.0,0.0,0.0
True,componential,count,30,False,"('svd', 30)",True,count,480,2a,1.0,0.0,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",False,count,480,2a,1.0,0.0,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",True,count,480,2a,1.0,0.0,0.0,0.0,0.0
True,addition,count,30,False,"('svd', 30)",False,count,480,2a,0.28,0.22,0.01,0.01,0.48
True,addition,count,30,False,"('svd', 30)",True,count,480,2a,0.27,0.19,0.0,0.0,0.54
True,multiplication,count,30,False,"('svd', 30)",True,count,480,2a,0.26,0.23,0.0,0.0,0.51
True,multiplication,count,30,False,"('svd', 30)",False,count,480,2a,0.24,0.24,0.01,0.01,0.49
True,multiplication,count,30,True,"('svd', 30)",True,count,480,2a,0.24,0.21,0.0,0.01,0.54
True,addition,count,30,True,"('svd', 30)",False,count,480,2a,0.21,0.24,0.02,0.01,0.52
True,addition,count,30,True,"('svd', 30)",True,count,480,2a,0.2,0.21,0.02,0.01,0.57
True,multiplication,count,30,True,"('svd', 30)",False,count,480,2a,0.19,0.21,0.02,0.03,0.55
True,componential,count,30,False,"('svd', 30)",False,count,240,2b,1.0,0.0,0.0,0.0,0.0
True,componential,count,30,False,"('svd', 30)",True,count,240,2b,1.0,0.0,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",False,count,240,2b,1.0,0.0,0.0,0.0,0.0
True,componential,count,30,True,"('svd', 30)",True,count,240,2b,1.0,0.0,0.0,0.0,0.0
True,addition,count,30,False,"('svd', 30)",False,count,240,2b,0.28,0.23,0.01,0.01,0.48
True,addition,count,30,False,"('svd', 30)",True,count,240,2b,0.27,0.19,0.0,0.0,0.54
True,multiplication,count,30,False,"('svd', 30)",True,count,240,2b,0.26,0.23,0.0,0.0,0.5
True,multiplication,count,30,True,"('svd', 30)",True,count,240,2b,0.23,0.21,0.01,0.01,0.54
True,multiplication,count,30,False,"('svd', 30)",False,count,240,2b,0.22,0.25,0.02,0.01,0.5
True,addition,count,30,True,"('svd', 30)",False,count,240,2b,0.22,0.2,0.04,0.02,0.52
True,multiplication,count,30,True,"('svd', 30)",False,count,240,2b,0.2,0.19,0.02,0.04,0.55
True,addition,count,30,True,"('svd', 30)",True,count,240,2b,0.19,0.2,0.03,0.01,0.56
