add_reversed_seq,add_with,composition_fn,dsm,n,omit_type_2_verb_and_exp_theme,strict_compositional,dsm,num_total_evaluations,exp,instrument_correct_prop,instrument_type_3_sibling_category_prop,instrument_type_2_same_category_prop,instrument_type_2_sibling_category_prop,instrument_other_prop
True,True,native,rnn,30,False,False,rnn,480,2a,0.87,0.05,0.02,0.01,0.05
False,True,native,rnn,30,False,False,rnn,480,2a,0.83,0.04,0.03,0.0,0.1
True,True,native,rnn,30,True,True,rnn,480,2a,0.8,0.05,0.06,0.04,0.06
True,True,native,rnn,30,True,False,rnn,480,2a,0.78,0.06,0.02,0.01,0.14
False,True,native,rnn,30,True,False,rnn,480,2a,0.77,0.05,0.04,0.01,0.12
False,True,native,rnn,30,False,True,rnn,480,2a,0.74,0.05,0.08,0.04,0.09
True,True,native,rnn,30,False,True,rnn,480,2a,0.72,0.02,0.08,0.05,0.12
False,True,native,rnn,30,True,True,rnn,480,2a,0.71,0.04,0.09,0.04,0.11
True,True,native,rnn,30,True,True,rnn,240,2b,0.71,0.09,0.06,0.04,0.1
True,True,native,rnn,30,False,False,rnn,240,2b,0.57,0.19,0.06,0.04,0.14
True,True,native,rnn,30,True,False,rnn,240,2b,0.52,0.22,0.04,0.03,0.19
True,True,native,rnn,30,False,True,rnn,240,2b,0.51,0.1,0.11,0.08,0.2
False,True,native,rnn,30,True,False,rnn,240,2b,0.35,0.3,0.05,0.04,0.27
False,True,native,rnn,30,True,True,rnn,240,2b,0.33,0.31,0.05,0.06,0.24
False,True,native,rnn,30,False,True,rnn,240,2b,0.32,0.3,0.08,0.08,0.22
False,True,native,rnn,30,False,False,rnn,240,2b,0.26,0.3,0.08,0.09,0.28
