,arch,embed_size,embedder,evaluation,replication,score,stage,task,time_of_init
0,comparator,30,wd,matching,0,0.5711346760963122,novice,cohyponyms_semantic,2018-12-09-07-36-49
1,comparator,30,wd,matching,0,0.5104509542496589,expert,cohyponyms_semantic,2018-12-09-07-36-49
2,comparator,30,wd,matching,0,0.5111759289756124,expert+rs,cohyponyms_semantic,2018-12-09-07-36-49
3,comparator,30,wd,matching,1,0.5723402669450622,novice,cohyponyms_semantic,2018-12-09-07-36-49
4,comparator,30,wd,matching,1,0.5125748730618388,expert,cohyponyms_semantic,2018-12-09-07-36-49
5,comparator,30,wd,matching,1,0.5112905678127921,expert+rs,cohyponyms_semantic,2018-12-09-07-36-49
6,comparator,30,wd,matching,0,0.5378834607818417,novice,features_has,2018-12-09-07-36-49
7,comparator,30,wd,matching,0,0.5053397815317541,expert,features_has,2018-12-09-07-36-49
8,comparator,30,wd,matching,0,0.5049931283110305,expert+rs,features_has,2018-12-09-07-36-49
9,comparator,30,wd,matching,1,0.5392113538903659,novice,features_has,2018-12-09-07-36-49
10,comparator,30,wd,matching,1,0.5036513667130781,expert,features_has,2018-12-09-07-36-49
11,comparator,30,wd,matching,1,0.5024223234759673,expert+rs,features_has,2018-12-09-07-36-49
12,comparator,30,wd,matching,0,0.500000000000002,novice,features_is,2018-12-09-07-36-49
13,comparator,30,wd,matching,0,0.5007415721329238,expert,features_is,2018-12-09-07-36-49
14,comparator,30,wd,matching,0,0.5007616146230027,expert+rs,features_is,2018-12-09-07-36-49
15,comparator,30,wd,matching,1,0.500000000000002,novice,features_is,2018-12-09-07-36-49
16,comparator,30,wd,matching,1,0.5007816571130818,expert,features_is,2018-12-09-07-36-49
17,comparator,30,wd,matching,1,0.5006213171924501,expert+rs,features_is,2018-12-09-07-36-49
18,comparator,30,wd,matching,0,0.5257639130006377,novice,nyms_syn,2018-12-09-07-36-49
19,comparator,30,wd,matching,0,0.5010814378802005,expert,nyms_syn,2018-12-09-07-36-49
20,comparator,30,wd,matching,0,0.5013180840746513,expert+rs,nyms_syn,2018-12-09-07-36-49
21,comparator,30,wd,matching,1,0.5258528631029413,novice,nyms_syn,2018-12-09-07-36-49
22,comparator,30,wd,matching,1,0.5011727034829278,expert,nyms_syn,2018-12-09-07-36-49
23,comparator,30,wd,matching,1,0.5016707481266237,expert+rs,nyms_syn,2018-12-09-07-36-49
