exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_folds,num_output,shuffled,train_on_second_neighbors
0.21484375,0.025390625,0.1,0.1,50.0,2,500,2,32,False,True
0.224609375,0.025390625,0.3,0.1,50.0,2,500,2,32,False,True
0.232421875,0.025390625,0.1,0.1,100.0,2,500,2,32,False,True
0.216796875,0.025390625,0.3,0.1,100.0,2,500,2,32,False,True
0.224609375,0.025390625,0.1,0.1,50.0,16,500,2,32,False,True
0.240234375,0.025390625,0.3,0.1,50.0,16,500,2,32,False,True
0.19921875,0.025390625,0.1,0.1,100.0,16,500,2,32,False,True
0.201171875,0.025390625,0.3,0.1,100.0,16,500,2,32,False,True
0.275390625,0.025390625,0.1,0.1,50.0,2,500,4,32,False,True
0.298828125,0.025390625,0.3,0.1,50.0,2,500,4,32,False,True
0.2734375,0.025390625,0.1,0.1,100.0,2,500,4,32,False,True
0.267578125,0.025390625,0.3,0.1,100.0,2,500,4,32,False,True
0.2578125,0.025390625,0.1,0.1,50.0,16,500,4,32,False,True
0.29296875,0.025390625,0.3,0.1,50.0,16,500,4,32,False,True
0.240234375,0.025390625,0.1,0.1,100.0,16,500,4,32,False,True
0.228515625,0.025390625,0.3,0.1,100.0,16,500,4,32,False,True
0.265625,0.025390625,0.1,0.1,50.0,2,500,2,256,False,True
0.275390625,0.025390625,0.3,0.1,50.0,2,500,2,256,False,True
0.251953125,0.025390625,0.1,0.1,100.0,2,500,2,256,False,True
0.23046875,0.025390625,0.3,0.1,100.0,2,500,2,256,False,True
0.263671875,0.025390625,0.1,0.1,50.0,16,500,2,256,False,True
0.27734375,0.025390625,0.3,0.1,50.0,16,500,2,256,False,True
0.2421875,0.025390625,0.1,0.1,100.0,16,500,2,256,False,True
0.240234375,0.025390625,0.3,0.1,100.0,16,500,2,256,False,True
0.328125,0.025390625,0.1,0.1,50.0,2,500,4,256,False,True
0.333984375,0.025390625,0.3,0.1,50.0,2,500,4,256,False,True
0.318359375,0.025390625,0.1,0.1,100.0,2,500,4,256,False,True
0.3046875,0.025390625,0.3,0.1,100.0,2,500,4,256,False,True
0.341796875,0.025390625,0.1,0.1,50.0,16,500,4,256,False,True
0.328125,0.025390625,0.3,0.1,50.0,16,500,4,256,False,True
0.326171875,0.025390625,0.1,0.1,100.0,16,500,4,256,False,True
0.302734375,0.025390625,0.3,0.1,100.0,16,500,4,256,False,True
0.142578125,0.025390625,0.1,0.1,50.0,2,500,2,32,True,True
0.125,0.025390625,0.3,0.1,50.0,2,500,2,32,True,True
0.140625,0.025390625,0.1,0.1,100.0,2,500,2,32,True,True
0.12109375,0.025390625,0.3,0.1,100.0,2,500,2,32,True,True
0.1484375,0.025390625,0.1,0.1,50.0,16,500,2,32,True,True
0.1328125,0.025390625,0.3,0.1,50.0,16,500,2,32,True,True
0.126953125,0.025390625,0.1,0.1,100.0,16,500,2,32,True,True
0.119140625,0.025390625,0.3,0.1,100.0,16,500,2,32,True,True
0.13671875,0.025390625,0.1,0.1,50.0,2,500,4,32,True,True
0.15234375,0.025390625,0.3,0.1,50.0,2,500,4,32,True,True
0.115234375,0.025390625,0.1,0.1,100.0,2,500,4,32,True,True
0.123046875,0.025390625,0.3,0.1,100.0,2,500,4,32,True,True
0.138671875,0.025390625,0.1,0.1,50.0,16,500,4,32,True,True
0.130859375,0.025390625,0.3,0.1,50.0,16,500,4,32,True,True
0.12890625,0.025390625,0.1,0.1,100.0,16,500,4,32,True,True
0.1171875,0.025390625,0.3,0.1,100.0,16,500,4,32,True,True
0.146484375,0.025390625,0.1,0.1,50.0,2,500,2,256,True,True
0.1484375,0.025390625,0.3,0.1,50.0,2,500,2,256,True,True
0.130859375,0.025390625,0.1,0.1,100.0,2,500,2,256,True,True
0.1484375,0.025390625,0.3,0.1,100.0,2,500,2,256,True,True
0.1328125,0.025390625,0.1,0.1,50.0,16,500,2,256,True,True
0.1484375,0.025390625,0.3,0.1,50.0,16,500,2,256,True,True
0.123046875,0.025390625,0.1,0.1,100.0,16,500,2,256,True,True
0.138671875,0.025390625,0.3,0.1,100.0,16,500,2,256,True,True
0.173828125,0.025390625,0.1,0.1,50.0,2,500,4,256,True,True
0.15234375,0.025390625,0.3,0.1,50.0,2,500,4,256,True,True
0.134765625,0.025390625,0.1,0.1,100.0,2,500,4,256,True,True
0.14453125,0.025390625,0.3,0.1,100.0,2,500,4,256,True,True
0.146484375,0.025390625,0.1,0.1,50.0,16,500,4,256,True,True
0.111328125,0.025390625,0.3,0.1,50.0,16,500,4,256,True,True
0.10546875,0.025390625,0.1,0.1,100.0,16,500,4,256,True,True
0.1328125,0.025390625,0.3,0.1,100.0,16,500,4,256,True,True
