exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.3046875,0.025390625,0.1,0.1,50.0,2,500,32,False,True
0.296875,0.025390625,0.3,0.1,50.0,2,500,32,False,True
0.259765625,0.025390625,0.1,0.1,100.0,2,500,32,False,True
0.265625,0.025390625,0.3,0.1,100.0,2,500,32,False,True
0.34765625,0.025390625,0.1,0.1,50.0,2,500,256,False,True
0.322265625,0.025390625,0.3,0.1,50.0,2,500,256,False,True
0.3125,0.025390625,0.1,0.1,100.0,2,500,256,False,True
0.310546875,0.025390625,0.3,0.1,100.0,2,500,256,False,True
0.13671875,0.025390625,0.1,0.1,50.0,2,500,32,True,True
0.1171875,0.025390625,0.3,0.1,50.0,2,500,32,True,True
0.150390625,0.025390625,0.1,0.1,100.0,2,500,32,True,True
0.12890625,0.025390625,0.3,0.1,100.0,2,500,32,True,True
0.15234375,0.025390625,0.1,0.1,50.0,2,500,256,True,True
0.140625,0.025390625,0.3,0.1,50.0,2,500,256,True,True
0.14453125,0.025390625,0.1,0.1,100.0,2,500,256,True,True
0.146484375,0.025390625,0.3,0.1,100.0,2,500,256,True,True
