exp_score,nov_score,beta,learning_rate,margin,mb_size,num_epochs,num_output,shuffled,train_on_second_neighbors
0.232421875,0.046875,0.1,0.1,50.0,2,500,32,False,True
0.20703125,0.046875,0.3,0.1,50.0,2,500,32,False,True
0.212890625,0.046875,0.1,0.1,100.0,2,500,32,False,True
0.208984375,0.046875,0.3,0.1,100.0,2,500,32,False,True
0.2265625,0.046875,0.1,0.1,50.0,2,500,256,False,True
0.22265625,0.046875,0.3,0.1,50.0,2,500,256,False,True
0.21875,0.046875,0.1,0.1,100.0,2,500,256,False,True
0.224609375,0.046875,0.3,0.1,100.0,2,500,256,False,True
0.15234375,0.046875,0.1,0.1,50.0,2,500,32,True,True
0.1640625,0.046875,0.3,0.1,50.0,2,500,32,True,True
0.185546875,0.046875,0.1,0.1,100.0,2,500,32,True,True
0.177734375,0.046875,0.3,0.1,100.0,2,500,32,True,True
0.162109375,0.046875,0.1,0.1,50.0,2,500,256,True,True
0.171875,0.046875,0.3,0.1,50.0,2,500,256,True,True
0.15625,0.046875,0.1,0.1,100.0,2,500,256,True,True
0.16015625,0.046875,0.3,0.1,100.0,2,500,256,True,True
