secret known
rum regular
even broken
even changing
even different
nasty calm
nasty easy
front last
front back
full empty
swish bad
swish poor
yoyo certain
yoyo stable
late early
late live
late old
lying frank
early old
early worn
early late
early later
iron loose
iron moving
learned green
busy lazy
busy quiet
top poor
jet white
drying full
drying wet
dirty bright
dirty clean
dirty clear
dirty neat
curly straight
polar friendly
polar hot
polar warm
polar same
prize poor
excited calm
sunny dark
happy down
upset calm
upset clean
terrific good
terrific little
terrific minute
plastic hard
spinach old
most least
waking asleep
waking sleepy
deep narrow
running broken
trying easy
cute disgusting
cute ugly
rosy sad
pocket big
pocket giant
pocket huge
pocket important
pocket large
won lost
heads extra
heads last
loose hard
loose tight
loose attached
calm excited
calm nervous
calm rough
dark bright
dark clean
dark clear
scratchy soft
base clean
base good
base high
rash afraid
rash careful
wet clear
wet dry
tangled clear
ready bare
lovely horrible
boiling cold
boiling cool
boiling freezing
boiling happy
peach sad
quick later
max least
shining dark
next earlier
lost seen
lost alive
frank different
quiet noisy
worried calm
worried happy
dinosaur new
changed kept
shy brave
shy calm
square different
squishy hard
squishy thin
more less
whispering screaming
whispering yelling
gracious cold
gracious cool
home outside
home business
home commercial
proud lowly
confused clear
out interested
round straight
mad calm
crooked straight
crooked good
after before
wicked clean
wicked friendly
wicked good
wicked kind
past after
past later
past present
bottoms top
hairy smooth
hairy calm
hairy clean
one mixed
talking hearing
talking listening
packed clear
packed empty
warm calm
warm cold
warm cool
warm freezing
muddy bright
muddy clean
muddy dry
muddy light
skinny fat
skinny heavy
skinny thick
wonderful bad
wonderful dark
colored real
colored white
great little
great low
fit stupid
runny broken
runny dry
runny close
scratching smooth
small big
small fat
small great
small huge
many few
tight broken
tight calm
naked covered
naked strong
mean kind
mean nice
shaky brave
shaky certain
gone alive
gone found
electric boring
bright dark
touching happy
touching hard
evil beautiful
lonely close
brave afraid
brave careful
crackers healthy
filled empty
bought sold
fluffy rough
fluffy smooth
present late
present old
present away
through stopping
windy calm
windy quiet
stuffed empty
terrible beautiful
laughing boring
teeny big
teeny huge
teeny large
game afraid
scared brave
scared cool
scared happy
kept broken
kept forgotten
beat fresh
friendly bad
friendly cold
friendly cool
fat little
fat skinny
piggy full
free busy
remembered forgotten
remembered lost
each none
sent kept
moving fixed
changing certain
changing stable
changing sure
changing fixed
lazy careful
missed found
cranky happy
cranky nice
easy difficult
easy hard
spanking slow
blue clean
blue happy
class boring
class calm
spent alive
spent living
closed beginning
closed open
closed running
closed started
cool hot
cool warm
rocky even
rocky smooth
rocky flat
fits stupid
ticklish calm
ticklish easy
ticklish stable
ticklish strong
lou beautiful
lou nice
bottom top
following front
following first
aboard off
racing slow
racing crawling
half whole
bent straight
opposite like
fresh old
south right
hard soft
tough easy
tough loose
loud calm
loud little
wanting enough
wanting present
held lost
wrong correct
wrong good
all none
all zero
patient loud
patient rough
dizzy clear
dizzy heavy
frightened brave
frightened cool
frightened happy
cardboard thick
missing enough
missing found
missing here
furry smooth
rolled straight
rolled spread
apple old
broken perfect
awesome bad
awesome boring
awesome disgusting
awesome good
fuzzy clear
fuzzy smooth
taught stupid
living asleep
afraid brave
afraid calm
afraid happy
alive dead
head extra
head last
weird boring
strange bad
jellyfish calm
jellyfish certain
jellyfish clear
first extra
down above
down happy
slippery dry
slippery safe
slippery certain
gentle excited
going fixed
elastic hard
squares different
high little
high minute
built flat
built skinny
peacock old
done saved
different alike
different like
quack real
quack true
star extra
surface deep
surface inside
gross little
gross skinny
gross small
less higher
less important
difficult easy
difficult helpful
difficult nice
soggy cool
soggy dry
soggy hard
dry full
dry wet
bumpy calm
bumpy even
bumpy smooth
well little
well poor
tired fresh
tired saved
lean fat
lean heavy
lean thick
helpful cold
helpful cool
helpful hurting
light dark
live dead
there away
there far
butterflies calm
butterflies certain
butterflies clear
glad sad
glad unhappy
glad upset
matching different
cross happy
thin big
thin fat
thin heavy
near away
near far
breaking strong
choice bad
choice poor
close far
close away
whole part
whole broken
amazing bad
lulu awful
lulu bad
lulu dark
sitting standing
tricky certain
tricky easy
tricky healthy
side important
flat rough
flat broken
stable broken
few big
few fat
few important
few large
torn fixed
torn working
torn certain
juicy dry
ringing low
ringing soft
odd like
interested bored
married single
long little
long low
long short
long small
merry sad
funny boring
funny serious
spare fat
spare thick
nuts sound
bare secret
bare covered
giant little
giant minute
giant small
pretty ugly
potty cool
seconds important
mobile fixed
mobile stable
coming away
coming far
coming gone
coming past
planes broken
planes changing
planes different
thinking dumb
thinking stupid
freezing friendly
freezing hot
cozy cool
safe dangerous
baby big
baby giant
baby huge
gabby quiet
short long
double single
blah exciting
blah interesting
beautiful bad
several none
several one
yummy bad
yummy dry
fine bad
particular regular
dear cool
grand bad
fancy plain
fancy poor
fancy ugly
lived dead
frozen hot
frozen warm
true different
last beginning
last middle
last opening
last first
heavy easy
gorgeous awful
gorgeous bad
gorgeous dark
moved kept
yellow strong
yellow brave
empty busy
empty filled
empty full
sweeping narrow
bitsy big
bitsy giant
bitsy huge
bitsy important
bitsy large
same different
same changing
sound broken
sound soft
pockets big
pockets giant
pockets huge
pockets important
pockets large
cracked fixed
cracked working
covered bare
covered open
covered empty
like different
like away
like changing
strong broken
strong easy
white dark
exciting boring
green healthy
grumpy happy
grumpy nice
angry calm
angry cool
angry happy
okay bad
okay dark
okay rainy
sad glad
sad good
sad happy
bored excited
asleep awake
kind cold
kind cool
crack poor
gingerbread main
gingerbread needed
crazy calm
seeing asleep
large empty
outside middle
outside certain
matty clean
matty straight
salty blah
excellent bad
fast slow
fast boring
worn fresh
worn new
straight broken
welcome bad
fixed loose
self other
flush broken
flush rough
inside known
inside outside
unhappy happy
thick easy
thick little
thick narrow
thick skinny
rough calm
rough easy
rough flat
rough gentle
ridiculous bad
ridiculous good
poor full
today old
today past
sorry glad
sorry good
sorry happy
hungry full
bananas healthy
alone together
awake asleep
regular different
regular special
biting kind
biting nice
hot cold
hot cool
hot dry
hot freezing
neat dirty
bad good
bad great
bad happy
dead alive
dead living
dangerous certain
dangerous good
dangerous great
narrow fat
narrow free
narrow giving
handsome rough
least big
least huge
least large
least most
disgusting beautiful
disgusting friendly
perfect bad
mixed alike
mixed like
mixed same
fun boring
fun unhappy
twisted clear
twisted even
twisted straight
mushy hard
upstairs downstairs
tickled sad
tickled unhappy
lowly higher
still broken
medium different
stinky dry
important little
spicy cold
spicy cool
hurts happy
hurts healthy
hurts perfect
polite cold
polite cool
tuna afraid
off here
off on
off present
sour blah
sour calm
tippy certain
tippy stable
clear rainy
clear dark
healthy gentle
speaking written
noisy calm
noisy quiet
finished held
finished kept
finished saved
comfortable cold
comfortable cool
comfortable hard
right evil
old new
old young
old green
nervous brave
nervous calm
nervous certain
baking freezing
in old
in past
back beginning
back first
back front
forward back
forward last
forward later
flying slow
flying ground
ducky bad
ducky cool
ducky mean
hip old
hip slow
extra main
extra needed
sleeping waking
giddy calm
giddy careful
giddy serious
horrible beautiful
sticky cool
sticky dry
sticky easy
low big
low huge
low important
country city
sudden lazy
sudden slow
hurt happy
hurt healthy
hurt perfect
tiny big
tiny giant
tiny huge
tiny important
tiny large
colorful plain
washed dirty
wide empty
wide little
wide narrow
crowded empty
crowded loose
forgotten remembered
saved spent
smooth broken
little big
little fat
little large
wild kind
wild nice
minute big
minute huge
minute large
pointed nice
new like
rainy dry
key extra
plane broken
plane changing
plane different
floating heavy
delicious bad
young old
young healthy
grouchy happy
grouchy nice
tall little
tall short
tall small
tall tiny
every none
sore easy
wan bright
wan clear
wan colorful
naughty calm
naughty good
naughty nice
growing dead
left right
boring bright
boring exciting
fighting kind
fighting nice
pea old
fishy real
huge little
cooking freezing
doggy plain
doggy dirty
cold friendly
cold good
cold hot
cold kind
interesting boring
interesting disgusting
sick healthy
sick perfect
sick sound
sick strong
sick well
messy clean
much little
black white
black clean
black good
black happy
ugly beautiful
ugly nice
ugly pretty
animal gentle
smart dark
lucky bad
shiny dark
second important
chilly friendly
chilly hot
chilly warm
wee big
wee huge
wee large
wee giant
wee great
big little
awful beautiful
nice bad
nice cool
nice mean
golden dark
golden stupid
dumb bright
dumb sharp
dumb smart
dumb speaking
surprised calm
camp calm
cutting calm
cutting gentle
cutting kind
cutting nice
