get draw earn gain grab have
see examine identify look notice observe
know experience have learn notice perceive
would bid command decree demand determine
learn enroll gain get grasp master
become incline mature metamorphose shift wax
come arrive become enter get happen
include build carry combine comprise cover
thank kiss praise
create conceive constitute construct design devise
add cast compute count enumerate figure
understand discern explain fathom follow get
choose adopt appoint cast designate determine
develop establish evolve expand flourish grow
remember get learn recall recognize relive
grow age become breed build come
allow avow concede confess own
bring carry deliver import lead take
begin create do establish found inaugurate
exist endure happen lie live occur
tend contribute favor go gravitate influence
enjoy like love relish savor dig
perform act behave complete do execute
decide choose conclude determine elect end
identify classify describe determine diagnose establish
continue endure extend last linger maintain
protect conserve cover cushion defend insulate
require desire miss wish
write compose create draft note pen
avoid bypass dodge escape evade shun
prepare assemble brace develop equip form
believe admit conclude consider have hold
receive collect draw earn gain get
seem look show sound suggest hint
discuss confer consider debate deliberate examine
realize get grasp know recognize think
contain enclose encompass have incorporate involve
follow displace ensue postdate replace result
refer attribute cite hint indicate introduce
solve decide determine do explain fix
describe characterize chronicle construe define depict
prefer choose pick promote put select
prevent avoid bar block counter forbid
discover design detect determine devise disclose
expect forecast foresee hope predict suppose
speak communicate convey declare deliver express
appear come develop emerge materialize occur
explain clarify define demonstrate describe disclose
explore examine probe research scrutinize search
lose fail forget squander suffer surrender
afford manage incur spare stand support
agree admit allow comply concede concur
hear get listen overhear read auscultate
remain endure hover last linger live
apply cover spread anoint bestow fasten
forget obliterate disremember misrecollect
recommend back confirm endorse favor justify
rely bank bet build calculate commit
accept obtain take welcome gain secure
communicate broadcast connect contact convey correspond
complain criticize denounce disagree fret gripe
enter infiltrate introduce invade penetrate crack
happen arise arrive develop fall hit
suggest advocate offer propose put recommend
survive endure exist handle keep last
appreciate enjoy welcome
compare contrast correlate equal match measure
imagine conceptualize create depict devise envisage
manage conduct dominate govern guide handle
prove convince demonstrate determine explain find
recognize know make note notice observe
relax recline soften unwind repose rest
replace follow oust recover reinstate restore
borrow hire obtain rent bite bum
earn collect derive draw gain get
operate act complete conduct do engage
send assign circulate commit deliver dispatch
assume conclude consider estimate expect guess
examine check consider criticize explore inspect
participate compete cooperate engage perform play
intend contemplate design designate destine expect
introduce offer open propose recommend submit
settle clear complete conclude decide determine
owe behind
suffer endure experience get hurt undergo
throw deliver drive fire fling flip
adjust accustom adapt alter conform fine-tune
argue disagree dispute quarrel quibble squabble
confirm approve back certify corroborate endorse
organize coordinate create establish form formulate
shut lock push seal confine draw
deliver bring convey distribute drop give
investigate examine explore inspect interrogate probe
retire go relinquish remove retreat separate
rid eliminate eradicate liberate purge relieve
weigh heft measure scale
arrive enter land reach report visit
attach adhere affix connect fix link
behave operate perform react take work
celebrate laud observe perform praise proclaim
convince get persuade prompt prove satisfy
disagree contradict differ dissent diverge counter
ignore discount fail forget neglect overlook
insist contend demand hold maintain press
warn advise alert caution hint inform
admire applaud appreciate cherish commend credit
admit concede enter grant introduce permit
announce declare disclose issue publish release
apologize confess retract withdraw purge square
belong exist fit reside agree appertain
commit do execute perpetrate violate achieve
deserve gain get justify merit warrant
destroy crush damage dismantle end eradicate
persuade assure cajole coax enlist entice
pour discharge drain flood flow gush
remind advise caution emphasize mention note
shall intend must will
submit agree defer surrender accede acquiesce
suppose expect presume pretend think understand
translate decipher put render transcribe turn
be act breathe continue do endure
have acquire admit bear carry enjoy
make compose form generate manufacture prepare
